docid,num,wdcount,sentence
AP900428-0050,11,34,"The Hubble Space Telescope was awakened from its self-induced sleep today but it was still without the use of its high-speed antennas, and its science instruments were on hold, unable to begin any observations."
AP900428-0050,19,33,"The telescope's big eye has remained open, but Hubble had been in a ``safe mode'' with all motion stopped because of earlier problems in linking the high-speed dish antennas with a relay satellite."
AP900428-0050,14,26,"Discovery's astronauts, meanwhile, packed their gear for a return to Earth Sunday, made some last-minute observations of Earth and talked with ground-based reporters about their flight."
AP880808-0040,7,37,"John Lennon spent much of a three-year span tucked away in his room, sleeping or sitting in a lotus position with his head enveloped in tobacco or marijuana smoke, according to a biography of the slain Beatle."
AP880915-0066,9,32,"A biography that portrays John Lennon as a drug-addled, anorexic bisexual who raged his way from Liverpool to New York City is ``totally fiction,'' Yoko Ono said in a national radio broadcast."
AP880921-0201,51,36,"As for the sensational charges of bisexuality, drug abuse by Yoko and John, wild drinking binges, anorexia and reclusiveness, Goldman says it all fits together with the image of Lennon presented by those who knew him."
AP880915-0066,32,33,"The book has already drawn angry responses from friends of Lennon and Ono McCartney, who contradicted one anecdote involving Lennon smashing a painting in Paul's home, has urged a boycott of the book."
AP881001-0104,13,17,"Lennon was murdered outside his Upper West Side home on Dec. 8, 1980, by Mark David Chapman."
AP901009-0072,8,30,The 50th anniversary of John Lennon's birth was observed with a global celebration today as his peace anthem ``Imagine'' was played for an estimated 1 billion people in 130 nations.
AP901009-0072,27,59,"``Lennon always symbolized for us somebody who was able to handle rock and roll with a sense of humor and later, even more importantly, as someone who cared for the rights of an individual, human rights in general, and who had the right concept of freedom and peace,'' said Ondrej Konrad, the editor of Czechoslovakia's leading popular music publication."
AP901009-0148,20,28,"About 1,000 Soviets, mostly second generation Beatles fans, flocked to the Moscow Electrical Lamp Factory's cultural hall in northeastern part of the city to rejoice in Lennon's music."
AP901009-0186,20,31,"None of the other Beatles were at the United Nations, but a tribute came from Lennon's old songwriting partner, Paul McCartney, who released a live version of the Beatles' tune ``Birthday''."
AP901208-0076,7,29,Dozens of fans of rock legend and former Beatle John Lennon gathered in the snow on a windy Saturday for a ceremony marking the 10th anniversary of his death.
AP880821-0008,2,2,AP-NR-08-21-88 0234EDT
AP880824-0139,20,22,At least 758 people died and 950 were injured in both countries Sunday when the earthquake jolted the mountainous India-Nepal border region.
AP880823-0127,19,20,"The earthquake, which struck shortly before daybreak Sunday when most people were still asleep, registered 6.5 on the Richter scale."
AP880822-0075,37,12,It lasted about a minute and aftershocks continued for about an hour.
AP880821-0010,40,2,The U.S.
AP880821-0010,41,22,"Geological Survey said its initial seismograph readings placed the center of the quake 100 miles southeast of Katmandu, the capital of Nepal."
AP880824-0139,21,26,"It was the deadliest quake to strike the subcontinent since 1950, when, by official count, 1,500 people were killed in the eastern Indian state of Assam."
AP880822-0075,27,15,"Bir Bahadur Shahi, secretary of the home affairs ministry, flew to eastern Nepal on Sunday."
AP880822-0075,28,13,"He said 50,000 to 60,000 houses were destroyed in the Dharan district alone."
AP880824-0050,28,25,"Most of the victims died in their houses, which were made of bricks held together by mud that had loosened during the seasonal monsoon rains."
AP880824-0050,29,17,Police Inspector G. Adhikari said bulldozers have demolished more than 50 houses deemed too dangerous for habitation.
AP880824-0139,15,21,"Residents in Dharan, the worst-hit area of Nepal, also raced from their homes Wednesday during two aftershocks, officials in Katmandu said."
AP880823-0059,30,21,"In India, the area with the greatest damage and casualties was just south of the border in Bihar, India's poorest state."
AP880823-0059,33,23,"Tremors flattened more than 25,000 houses in India, officials said, and the Bhoothai Balan River flooded nearly 50 villages in the Madhubani district."
AP880823-0127,15,31,"India reported an official death toll of 200, but the figure was disputed by news media and opposition politicians who put the Indian death count at anywhere from 400 to 1,500."
AP880824-0139,2,2,AP-NR-08-24-88 1425EDT
AP880824-0139,9,32,"The death toll from the Himalayan earthquake topped 750 on Wednesday as rescue workers hampered by monsoon rains, aftershocks and washed out roads reached remote areas of Nepal and found more bodies."
AP880824-0139,27,23,"As survivors in both countries began rebuilding homes damaged or destroyed by the quake, medicine, food and financial aid began arriving from abroad."
AP880825-0147,13,20,Flanigan said the Peace Corps has been able to track down all but three of the 157 volunteers in Nepal.
AP880825-0147,14,10,"There are no Peace Corps members in India, he said."
AP880826-0161,5,9,"Death Toll Rises to 981, Legislator Beaten to Death"
AP880816-0135,10,23,"The strike in Jastrzebie, about 275 miles southwest of Warsaw, comes on the eighth anniversary of the founding of the outlawed trade federation."
AP880817-0124,26,21,"The strikes mark the eighth anniversary of the birth of the Solidarity, which Communist authorities crushed in a 1981 military crackdown."
AP880817-0124,45,34,"Five strikes in Poland from April 25 to May 10, and brief stoppages or strike threats in 25 more work places, constituted the worst labor unrest in the country since the 1981 martial-law crackdown."
AP890616-0230,11,36,"More than 10,000 coal miners in four states were off the job today to express sympathy for miners in Virginia and West Virginia who have waged a bitter strike since April against the Pittston Coal Group."
AP890719-0248,11,32,President Mikhail S. Gorbachev said today that thousands of striking coal miners and other workers are urging railway employees to join the work stoppage and that the unrest threatens his economic reforms.
AP890719-0248,22,19,"The miners are demanding more local control over their industry as well as higher wages and better living conditions.</s> <s docid=""AP890720-0075"" num=""6"" wdcount=""8""> Soviet Miners' Strikes Spread to Four New Areas"
AP890721-0091,12,31,"Coal miners in Siberia ended their strike today after exacting promises of better food, housing and working conditions, but the wave of unrest they launched continued in other key coal regions."
AP890721-0091,19,11,The labor unrest is the Soviet Union's worst in six decades.
AP890721-0091,32,9,The coal industry employs more than 1 million workers.
AP890721-0091,42,12,"Until Gorbachev rose to power in 1985, strikes were not tolerated ."
AP891103-0200,14,34,"Coal miners in the northern region and the Ukraine struck for two weeks this summer but returned to work in July after parliament passed a resolution promising reforms, including improved social and economic conditions."
AP891103-0200,15,10,The miners say the government has renedged on its promises.
FT923-12122,7,34,"WORKERS AT KGHM, Poland's copper producing combine went on strike yesterday as coal mining unions staged token stoppages in a third of the country's pits in a major challenge to the government's economic policies."
FT933-9536,7,28,"COALMINERS from Romania's Jiu Valley, who spearheaded violent anti-reform rampages through Bucharest in 1990 and 1991, are once again out on strike, pressing the government for higher wages."
SJMN91-06069108,14,13,"The 1989 strike, which involved more than 500,000 miners, made only economic demands."
SJMN91-06069108,15,12,"This time, Shushpanov said, the miners also want three major political concessions."
AP880817-0040,13,27,The Quayle family and friends were celebrating Tuesday afternoon after George Bush announced he wants the 41-year-old Indiana senator to be the Republican nominee for vice president.
AP880817-0040,19,31,"Dan Quayle, who grew up in Huntington, graduated from DePauw University, a small liberal arts college in Greencastle, Ind., before going to work in the Indiana attorney general's office in 1970."
AP880818-0023,9,23,Dan Quayle has not yet been nominated for vice president and already Republicans are comparing him to Thomas Jefferson and John F. Kennedy.
AP880819-0023,28,27,"Sen. Bob Dole of Kansas, who placed Quayle's name in nomination, stressed his campaign skills and sought to deflect concerns that he lacked experience for the job."
AP881114-0006,10,33,"Encumbered by his image as a political novice who needed a bevy of professional handlers to survive early campaign controversies, Quayle enters a Bush administration in which he has few intimates or allies."
AP881114-0006,16,36,"When asked, Bush employed the stock lines that Quayle would ``make an outstanding vice president'' and had been ``tempered by steel'' as he weathered the early furor over his military service, academic record and personal life."
AP881114-0006,31,28,"Democrats portrayed Quayle during the campaign as a lightweight, a man with little or no legislative accomplishments, untested and unqualified to be a heartbeat away from the presidency."
AP881114-0006,33,34,"Quayle didn't help his case by making a number of celebrated gaffes during the campaign, perhaps the worst being his garbled explanation of the Holocaust and his declaration, ``I didn't live in this century''."
LA111289-0035,8,18,"One year after his election, Dan Quayle has achieved all he ever wanted: He has become dull ."
LA111289-0035,19,22,"So when Quayle got to Washington, he got there with one goal: Support the President and make himself a very small target."
SJMN91-06140099,33,31,"Nonetheless, most of Huntington's 17,000 residents have rallied around their native son for the exhibition, which tracks his life from infancy through law school, from the Senate to the vice presidency."
AP881114-0006,11,48,"Relegated in the campaign to small towns and safe GOP areas, Quayle as vice president is likely to be given a traditional ceremonial role _ going to political gatherings and state funerals _ rather than the advisory role that Walter Mondale and even Bush had, some scholars feel."
SJMN91-06311092,5,29,"Robert Maxwell, the flamboyant billionaire who built a global publishing empire, was found dead Tuesday in waters off the Canary Islands, where he had been vacationing on his yacht."
SJMN91-06311092,10,30,"Maxwell's death ended the reign of a contentious media baron who battled unions, barked out orders in eight languages and bullied editors as he built a $2 billion media conglomerate."
SJMN91-06311092,16,34,"His death prompted immediate concern in British financial circles about the future of his debt-laden empire and in New York about the future of the Daily News, one of the nation's largest metropolitan papers."
FT922-2972,6,26,ABOUT 20 banks became concerned last summer at the behaviour of businesses run by Robert Maxwell several months before he died and his business empire collapsed.
FT922-2972,8,34,"Yet although some banks became alarmed at the implications for the financial health of his empire, they did not discuss their concerns with each other or with authorities such as the Bank of England."
FT922-3446,6,41,"DOCUMENTS which show for the first time that both Mr Robert Maxwell and his son Kevin were intimately involved in substantial purchases of shares in Maxwell Communication Corporation, one of their own public companies, have been obtained by the Financial Times."
SJMN91-06346032,24,25,"Kevin Maxwell has been linked to transactions of a pension fund management firm at the center of the controversy over the missing money, investigators say."
SJMN91-06346032,25,33,"He and brother Ian are under court order to disclose by next week what they know about the affairs of Bishopsgate Investment Management Ltd., one of about 40 companies controlled by their father."
FT941-11518,6,31,"Sir Nicholas Lyell QC, the attorney-general, will attempt to stop the curtain rising on Maxwell: The Musical, the West End show chronicling the life and times of the late Robert Maxwell."
FT941-11518,7,36,"Fears that the musical might prejudice the criminal trial of the late publisher's sons, Kevin and Ian, have prompted Sir Nicholas to apply to the High Court on Monday for an injunction to halt the production."
FT942-12054,6,37,"Two writs have been filed alleging that Goldman Sachs, the US-based investment bank, assisted in diverting Pounds 55m from two pension schemes controlled by Robert Maxwell to ensure its own debts from Maxwell interests would be repaid."
AP901008-0174,10,30,"The Booker Prize is Britain's literary event of the year, guaranteed to boost sales of the chosen novel after the award announcement Oct. 16, and dinner in London's ancient Guildhall."
AP881025-0196,7,21,"Australian novelist Peter Carey was awarded the coveted Booker Prize for fiction Tuesday night for his love story, ``Oscar and Lucinda''.</s>    <s docid=""AP881025-0196"" num=""24"" wdcount=""23""> It is administered by Book Trust, an educational charity promoting books, and is sponsored by Booker, an international food and farming business ."
AP890922-0224,7,30,"Six novels have been nominated for the Booker Prize, Britain's most prestigious fiction award, and bookmakers say the favorite is ``The Remains of the Day'' by Japanese author Kazuo Ishiguro."
AP890922-0224,8,18,"The award, to be announced Oct. 26, carries a $31,600 prize funded by the Booker McConnell food company."
AP891026-0208,5,7,Kazuo Ishiguro Wins Britain's Top Literary Prize.
AP901008-0174,16,12,British publishers can submit three new novels by British and Commonwealth writers.
AP901016-0112,9,33,"Critic and novelist A.S. Byatt on Tuesday won the Booker Prize, Britain's most prestigious literary award, for her tale of two young scholars investigating the lives of a pair of imaginary Victorian poets."
AP901016-0112,25,7,It is Britain's top literary award .
FT923-3822,11,32,London's litterati have for weeks been betting on Michael Ondaatje's The English Patient - those of them who have seen a proof copy because it is not officially published until next week.
FT923-3822,12,11,Last night the bookmakers William Hill made it the 5-2 favourite.
FT923-3822,41,16,"Last year the prize was won by Ben Okri, for his book The Famished Road ."
FT944-16774,6,42,"After hours of heated delib-eration - under a system described as 'mad' by one judge - the Pounds 20,000 Booker Prize for fiction last night went to Mr James Kelman for How Late It Was, How Late, published by Secker and Warburg."
FT944-16774,7,41,"The novel, a story of Scottish low-life narrated largely in Glaswegian dialect, is unlikely to prove a popular choice with booksellers, who have damned all six books shortlisted for the prize as boring, elitist and - worst of all - unsaleable.</s>                                                                  <s docid=""WSJ871110-0154"" num=""2"" wdcount=""12""> 'Moon Tiger': A Dark Horse Takes the Booker --- By Terry Trucco"
AP880521-0088,9,25,"Greek divers have plunged 162 feet beneath the Aegean Sea and back into history, finding a treasure-laden Turkish warship sunk by Greek revolutionaries in 1822."
AP880913-0070,8,32,"A freighter carrying a cargo of beer sank in the North Sea today off the Dutch coast and all nine crew members were rescued from life rafts, a coast guard spokesman said."
AP880913-0070,9,20,"The ship sank at about 12:45 p.m. in high winds, some 28 nautical miles north of the island of Ameland."
AP890125-0099,7,31,"Leopold Gratz, the president of Parliament and one of the most powerful politicians in the Socialist Party, resigned today over a scandal surrounding the mysterious sinking of a ship 12 years ago."
AP890125-0099,11,19,The Lucona's cargo was officially described by Proksch as for a uranium processing plant and insured for $16 million.
AP890125-0099,12,25,"The insurance company has never paid,claiming the cargo was only scrap metal and alleging the vessel was intentionally sunk to collect the insurance money."
AP890201-0043,9,34,"An Argentine supply ship that ran aground off Antarctica sank Tuesday in heavy seas and high winds, the government said, and there was concern oil in its hold could leak and damage the environment."
AP890417-0189,11,25,Two sailors were missing Monday evening after a 652-foot freighter en route from Greece apparently sank in rough seas 400 miles southeast of Cape Cod.
AP890613-0125,7,34,"A yacht built for Adolf Hitler and sunk with great fanfare to commemorate the ``Voyage of the Damned'' was mistakenly dropped on a delicate coral reef in a shallow shipping lane, officials said Tuesday."
AP890622-0157,10,39,"A deep-sea inspection of the Bismarck suggests that the most powerful battleship in Adolf Hitler's navy was scuttled by its own crew rather than sunk by the British in a celebrated battle, underwater explorer Robert D. Ballard said Thursday."
AP890622-0157,11,22,"During a 90-minute news conference, Ballard described how he his ocean-crawling robot located the Bismarck ``sitting upright and proud'' two weeks ago."
AP890820-0068,8,31,"A Florida couple said their pleasure boat was sunk by whales off Costa Rica and they survived 66 days at sea by eating raw fish and drinking purified water, the U.S."
FBIS4-57796,17,26,"The Korean ship, which had been fishing illegally in Argentine waters, was sunk by its own crew after failing to answer to the Argentine ship's warnings."
FT943-178,5,7,Ferries are among the safest vessels afloat.
SJMN91-06097121,7,28,Former Sen. John Tower of Texas and his daughter were among 23 people killed Friday when the twin-engine commuter plane they were aboard crashed while trying to land.
LA020189-0050,19,26,"Tower, 63 and twice-divorced, served 24 years in the Senate from Texas, including a tenure as chairman of the Armed Services Committee from 1981 to 1984."
AP890309-0143,11,29,"The Democratic-controlled Senate today rejected the nomination of former Texas Sen. John Tower as defense secretary, delivering a major rebuke to President Bush just 49 days into his term."
AP890309-0143,13,33,It was only the ninth time in 200 years that the Senate has voted to reject a president's Cabinet choice and the only time it has done so early in a new administration.
AP890211-0110,12,44,"The Senate Armed Services Committee has put the nomination of Tower, a former Texas senator and onetime chairman of the committee, on hold while it takes a second look at Tower's personal habits, including his use of alcohol, and his links to defense contractors."
LA021189-0003,58,37,"D. Dignan, who performed surgery to remove a polyp from Tower's colon on Jan. 5, said that after the operation he advised Tower to limit his drinking to one or two glasses of wine with dinner ."
LA020189-0050,20,33,He has been dogged by reports that he is a hard-drinker and a womanizer and that his hawkish views on defense do not square with the budgetary austerity that the Pentagon faces .
LA020489-0035,42,34,"Army Times, another prominent defense community publication, says Tower is unsuited for the Defense Department post because of his work as a consultant to defense contractors shortly after leaving government service in 1986 ."
LA021189-0003,19,16,Tower's relationships with arms makers are central to reservations expressed by some senators about his nomination.
LA021189-0003,20,52,"Lawmakers from both parties have said they are concerned that there would be a continuing appearance of conflict of interest hanging over Tower because of his employment by weapons firms, which brought him at least $760,000 in 2 1/2 years -- not including the more than $200,000 British Aerospace paid him ."
AP890316-0012,36,23,"Tower not only shunned withdrawal; he offered conditions that had to be humiliating, if only the Senate would let him have the job."
AP890316-0012,37,11,"Tower promised to quit drinking, taking the pledge on national television."
AP900623-0119,5,7,"Friendly, Hostile Countries Send Aid To Iran"
AP900621-0186,8,28,"The earthquake that devastated Iran early Thursday took tens of thousands of lives because people were asleep in fragile homes built on flood plains, an earthquake expert said."
AP900621-0186,13,18,Needham said most structures in that area are built of a ceramic-type brick or adobe that collapses easily.
AP900621-0186,17,38,"The shock wave traveled through the mountainous section of coastal Iran where most of the buildings are built on a flood plain of loosely deposited soil that shifts in an earthquake and allows structures to collapse, he said."
AP900621-0186,18,22,"The 7.7-magnitude quake was the largest ever recorded in that area, where two major plates of the earth's crust meet, Needhams said."
AP900625-0153,8,19,"The estimated 50,000 dead in the Iran earthquake make it the world's fourth deadliest quake in the past half- century."
LA062490-0172,29,17,Iranian officials have said they would welcome aid from all countries except Israel and South Africa.
LA062490-0172,20,16,"Also on Saturday, aid continued to pour into Iran from other parts of the world."
AP900623-0119,11,16,The United States sent a message of condolence and expressed its willingness to provide humanitarian aid.
LA062490-0172,18,19,"A Soviet Red Cross official said a plane left Moscow carrying relief aid, nine doctors and rescue workers."
LA062490-0172,21,17,"A 205-member French relief team arrived Friday night, according to Iran's official Islamic Republic News Agency (IRNA)."
LA062490-0172,22,20,"West Germany said it was sending 200 tents and 3,200 blankets, to be followed by 100 tons of similar supplies."
LA062490-0172,23,13,Jordan and Kuwait also said they are sending planeloads of relief aid.
LA062490-0172,24,32,"The European Community has granted $1.2 million in emergency aid, and Japan is reportedly sending between $500,000 and $1 million in cash as well as a 22-member medical and rescue squad ."
LA062490-0172,26,25,"Pope John Paul II was ""very saddened"" by the earthquake and has donated personal funds to help victims of the disaster, the Vatican said ."
LA062490-0172,28,23,"Other assistance reportedly was due from Holland, Turkey, Greece, Pakistan, Belgium, Finland, India, Bangladesh, Yugoslavia, Sri Lanka, Kuwait and several other nations ."
LA062690-0155,10,24,"Writer Salman Rushdie, who has been sentenced to die by Iranian zealots, has donated $8,600 to victims of last week's devastating earthquake in Iran."
AP900623-0022,11,31,"Iran is deliberately underreporting the number of casualties from Thursday's massive earthquake out of fear of a political backlash, leaders of a group seeking to overthrow the country's Islamic leadership say."
AP891115-0199,10,29,"Thunderstorms wreaked havoc across the middle Mississippi Valley and the Southeast on Wednesday with lethal tornadoes, wind up to 100 mph and hail up to the size of baseballs."
AP891115-0199,18,18,The thunderstorms developed along and ahead of a strong cold front and swept eastward from Missouri and Arkansas.
AP891115-0199,35,27,"Unseasonably warm weather continued in the East with afternoon readings in the 60s in New England, and in the 80s over Florida, southern Texas and southern Louisiana."
AP891116-0035,11,3,"HUNTSVILLE, Ala. (AP)"
AP891116-0035,12,32,"A tornado slammed into a shopping district, a residential area and a school Wednesday, killing at least 15 people, injuring more than 300 and trapping people in cars and homes, authorities said."
AP891116-0035,25,23,"Witnesses said the downtown Jones Valley Elementary School, the Waterford Square and adjacent Queensbury apartment complexes were reduced to rubble by the tornado."
AP891116-0035,13,7,``It's total destruction where the tornado hit.
AP891116-0035,49,36,"In Georgia, five people were injured, four critically, and at least 200 people evacuated after a tornado struck two mobile home parks and an interstate highway near Palmetto, about 25 miles southeast of Atlanta, authorities said."
AP891116-0184,7,21,"A powerful storm system brought strong winds and heavy thunderstorms to the Northeast on Thursday, causing flooding and widespread property damage."
AP891116-0184,8,14,"Seven children died when a wall collapsed in a school cafeteria near Newburgh, N.Y."
AP891116-0184,9,21,"Tornadoes were reported in New Jersey, Delaware, Virginia and New York, although the National Weather Service was unable to confirm them."
AP891116-0184,10,25,"The same storm system caused tornadoes in seven states in the South and Midwest on Wednesday, and was blamed for 17 deaths in Huntsville, Ala."
AP891116-0184,11,16,The storm was particularly violent because it occurred along a line of extreme variations in temperature.
AP891116-0184,20,25,"There were reports of damage from strong thunderstorms and gusty winds in eastern Virginia, Maryland, Delaware, New Jersey, eastern Pennsylvania and eastern New York state."
AP891116-0198,17,24,"By far the worst damage was in Huntsville, where an estimated 1,000 people were left homeless and National Guardsmen stood watch against looting Thursday."
AP891116-0198,38,28,"In Alabama, Gov. Guy Hunt said he would ask President Bush to declare Huntsville a disaster area to open the door to millions of dollars in federal relief."
LA111689-0160,25,20,"Telephone communication and electricity were disrupted by the tornadoes and WAAY-TV, the only station still broadcasting, reported widespread damage ."
LA011889-0131,10,38,"Patrick Edward Purdy, who turned a powerful assault rifle on a crowded school playground Tuesday, killing five children and wounding 29 more, had been a student at the school from kindergarten through third grade, officials said today ."
AP890118-0051,9,35,"Children whose families escaped the horrors of the Vietnam War saw their schoolyard turned into a killing field, the target of a silent gunman armed with a rifle and a pistol bearing the word ``victory''."
AP890118-0013,12,50,"Patrick E. Purdy purchased an AK-47 rifle in this Portland suburb several months ago, then returned to his hometown of Stockton, Calif., where he used the gun to kill five children and wound 29 others, along with a teacher, at Cleveland Elementary School before taking his own life, authorities said."
AP890118-0013,11,33,"The 26-year-old drifter with a long criminal record who launched a mute, murderous assault on a California elementary school Tuesday was described by his aunt as a loner and childhood alcoholic, police said."
AP890117-0004,8,40,"Within hours of the schoolyard shootings that left five children and the gunman dead and 30 wounded Tuesday, dozens of translators rushed to assist the many Southeast Asian parents who arrived at the hospital desperate for word of their youngsters."
AP890121-0050,21,25,"Cleveland School is in the heart of California's third-largest community of refugees from Southeast Asia, and nearly two-thirds of the school's population is from Asia."
AP890121-0050,22,16,"All of the dead children were from refugee families, as were 19 of the 29 wounded."
LA012189-0073,17,22,Buddhist priests led prayers at the homes of three Cambodian families Friday in mourning ceremonies that last three days and three nights.
AP890121-0123,10,21,"Grieving relatives and friends gathered at memorial services Saturday to mourn the five school children slain by a camouflage-garbed, suicidal drifter."
LA012189-0073,15,23,"Fourteen of the 29 students injured in the attack remained in hospitals Friday, but in almost all cases, their conditions were reported improved."
LA012189-0073,10,53,"City officials readied the city's Civic Auditorium for a Monday memorial ceremony for the families and friends of a Vietnamese student and four Cambodian pupils gunned down in the playground at Cleveland Elementary School Tuesday by armed drifter Patrick Edward Purdy, who killed himself with a single pistol shot to the head ."
AP890121-0050,14,12,"Purdy was buried Friday in nearby Lodi, said his grandmother, Julia Chumbley."
AP890121-0050,15,18,"He was interred following a service at Cherokee Memorial Cemetery, which several of his relatives attended, she said."
AP880228-0013,6,3,"CALGARY, Alberta (AP)"
AP880228-0013,7,35,Debi Thomas' dream of Olympic gold turned into disappointment Saturday as East Germany's Katarina Witt won her second straight Olympic championship and Canadian Elizabeth Manley took home the silver before a crowd of cheering countrymen.
AP880228-0097,8,16,"The best America could do was six medals, its worst Winter Games showing in 52 years."
AP880929-0042,8,4,"SEOUL, South Korea (AP)"
AP880929-0042,20,44,"Noted for her long, painted fingernails and racy, colorful bodysuits, Griffith Joyner of Los Angeles has a chance to match the 1984 quadruple gold medal performance of U.S. sprinter and long jumper Carl Lewis, and by Fanny Blankers-Koen of the Netherlands in 1948 ."
AP881002-0048,13,20,"The Soviets took home 132 medals, including 55 gold, the most ever in a Summer Olympics without a major-power boycott."
AP881002-0048,10,7,The United States finished third in medals.
AP881003-0066,10,34,The Summer Olympics will be remembered for moments of glory like that enjoyed by U.S. diver Greg Louganis and the startling moment of disgrace when the gold was stripped from Canadian sprinter Ben Johnson.
WSJ881004-0111,2,13,Olympic Gold Falls in Advertising Value --- Medal Winners Lack Appeal As Endorsers
WSJ881004-0111,24,16,"Now, marketers say, these medalists will be lucky to pull in $100,000 to $500,000 a year."
LA082889-0067,10,22,Dave Johnson of the United States clinched the decathlon gold medal in the final event at the World University Games Sunday .
AP900328-0128,9,34,"The late Jesse Owens, whose performance at the 1936 Olympics put the lie to Hitler's boasts of racial superiority, picked up a fifth gold medal Wednesday for ``humanitarian contributions in the race of life''."
AP900328-0128,10,30,"President Bush presented the Congressional Gold Medal to his widow, Ruth Owens, in a ceremony at the White House also attended by three daughters and teammates of the track legend."
LA040790-0121,6,6,"SHOOTER BAKES SETS RECORD, WINS GOLD"
LA040790-0121,10,39,"Bakes, 27, set a world record in the kneeling portion of the three-position rifle competition Friday en route to a gold medal at the 1990 World Cup USA Olympic-style shooting tournament at Petersen's Prado Tiro Ranges in Chino ."
FT923-8765,6,16,TONIGHT in the big stadium in Barcelona the athletics is dominated by the four relay finals.
FT923-8765,8,36,"What the relays demonstrate more clearly than any other athletics event is that at the Olympics the race has traditionally gone to affluent countries - or to those, rather, that choose to lavish resources on athletes."
LA112790-0154,10,30,"John Major, who was endorsed by Prime Minister Margaret Thatcher as her successor and heir, was elected today as leader of the Conservative Party and will become prime minister ."
LA112790-0154,13,22,"Major, 47, her chancellor of the Exchequer, is the youngest person to be elected Britain's prime minister since the 19th Century ."
AP901127-0119,13,35,"Major, 47, fell two votes short of winning a majority in voting among the 372 Coservative Party members of Parliament, but his two opponents quickly conceded defeat and the party confirmed Major as the winner."
FT932-15960,9,46,"The past 12 months have been hijacked by internal party differences over Europe, by the debacle surrounding UK withdrawal from the exchange rates mechanism of the European Monetary System, and by a continuing, deep recession which has disappointed and alienated many traditional Tory supporters in business."
FBIS4-24776,40,38,"For a long time, John Major has failed to resolve the economic crisis and has seriously jeopardized the interests of British people, who have become poorer with each passing day and suffer from a high rate of unemployment."
FT932-15960,21,36,"There is a general perception that, important though Britain's future place in Europe is, the prime minister has been excessively preoccupied with community affairs and associated internal party ructions, to the detriment of the domestic economy."
LA011990-0091,10,40,"Ray Buckey and his mother, Peggy McMartin Buckey, were found not guilty Thursday of molesting children at the family-run McMartin Pre-School in Manhattan Beach, a verdict which brought to a close the longest and costliest criminal trial in history ."
LA011990-0091,89,51,"The McMartin case -- which included allegations not only of rape, sodomy, oral copulation, and other sex crimes, but also of pornographic photography sessions, ""naked games,"" field trips away from the school for illicit purposes, animal mutilation, threats and satanic-like ritual and sacrifice -- began in the fall of 1983 ."
AP900118-0183,45,29,"Originally, there were seven defendants, including Raymond Buckey's sister, Peggy Ann Buckey, and Virginia McMartin, the founder of the school, mother of Mrs. Buckey and grandmother of Raymond Buckey."
AP900117-0193,9,31,"Jurors who have reached verdicts on 52 counts in the McMartin preschool molestation case said Wednesday they are deadlocked on the remaining 13 charges in the nation's longest, costliest criminal trial."
AP900118-0190,11,45,"Seven jurors who spoke with reporters in a joint news conference after acquitting Raymond Buckey and his mother, Peggy McMartin Buckey, on 52 molestation charges Thursday said they felt some children who testified may have been molested _ but not at the family-run McMartin Pre-School."
AP900119-0024,19,13,But the jurors were sharply critical of the interviewers' technique at the institute.
AP900119-0024,20,19,"``The children were never allowed to say in their own words what happened to them,'' said juror John Breese."
LA011990-0091,127,54,"* Therapist Kee MacFarlane, who conducted many of the interviews in which children first disclosed that they had been molested, came under fire when it was revealed not only that she had minimal previous experience in the field but also that she was involved romantically with the television newsman who broke the story ."
AP900118-0183,10,30,"Thursday's acquittals in the McMartin Pre-School molestation case outraged parents who said prosecutors botched it, while those on the defense side proclaimed a triumph of justice over hysteria and hype."
AP900118-0183,27,26,"``The system is not going to protect children,'' said Jackie McGauley, a parent who believes her child had been molested but didn't testify in the case."
AP891017-0199,13,37,"A violent earthquake rocked Northern California during Tuesday evening's rush hour, caving in a section of the San Francisco Bay Bridge, terrifying World Series fans in Candlestick Park and shaking buildings as far as 200 miles away."
AP891017-0195,13,24,"The quake, which lasted about 15 seconds, measured 6.5 on the Richter scale, according to seismologists at the California Institute of Technology in Pasadena."
AP891017-0199,17,15,"It was centered near Hollister, 80 miles southeast of San Francisco in San Benito County."
AP891017-0195,15,21,Televised footage of the bridge showed that a 30-foot section of the span's upper deck had collapsed onto the bottom level.
AP891017-0199,14,10,CBS-TV reported one person had been killed on the bridge.
AP891017-0199,15,32,"There were no other immediate confirmed reports of deaths or injuries, but ABC-TV and CNN both said some people were injured at Candlestick, where the game was canceled and fans were evacuated."
AP891017-0195,18,7,Buildings in San Francisco swayed several feet.
LA102089-0172,36,17,"In the city's high- towers, a few broken windows and other cosmetic damage could be seen."
LA102089-0172,38,12,"But most buildings, including the landmark Transamerica Pyramid, were not touched ."
LA101889-0066,8,49,"Tuesday's earthquake, the strongest on the San Andreas fault since the San Francisco quake on April 18, 1906, came in a place that had been identified by scientists just last year as the most likely spot for a major jolt in Northern California within the next 30 years ."
AP891017-0199,58,24,"The San Francisco earthquake of 1906, which occurred before the Richter scale was devised, has been estimated at 8.3 on the Richter scale ."
LA101889-0066,12,33,"Geological Survey, in a 1988 report on regions of high earthquake probability in California, said there was a 30% chance of another 6.5-magnitude earthquake in the immediate vicinity by the year 2018 ."
